"LMcP -> 10.1749233106849","LMcT -> 1.","LPMn -> 0.5","LPT -> 1.","thetaMcMc -> 10.092255999434956","thetaMcP -> 1.5","thetaMnMc -> 9.108669476219145","thetaPMn -> 3.3095238095238093","thetaPT -> 1.75","UMcP -> 12.62288696983277","UMcT -> 4.","UPMn -> 2.","UPT -> 2."
"LMcP -> 1.7461807645996388","LMcT -> 0.5","LPMn -> 0.5","LPT -> 1.","thetaMcMc -> 1.4536668543466018","thetaMcP -> 1.5","thetaMnMc -> 1.306484704244431","thetaPMn -> 0.8380325814536341","thetaPT -> 1.75","UMcP -> 2.223990513675774","UMcT -> 1.","UPMn -> 2.","UPT -> 1.375"
"LMcP -> 322.04608526131705","LMcT -> 10.","LPMn -> 0.5","LPT -> 12.","thetaMcMc -> 211.874315000037","thetaMcP -> 1.5","thetaMnMc -> 191.6733895243829","thetaPMn -> 170.92857142857142","thetaPT -> 1.75","UMcP -> 362.49404892046493","UMcT -> 15.","UPMn -> 2.","UPT -> 14."
"LMcP -> 3.734723058398555","LMcT -> 1.","LPMn -> 0.5","LPT -> 1.","thetaMcMc -> 3.041661371407145","thetaMcP -> 1.5","thetaMnMc -> 2.740209211318483","thetaPMn -> 1.6760651629072683","thetaPT -> 1.75","UMcP -> 4.582403979451187","UMcT -> 2.","UPMn -> 2.","UPT -> 1.375"
"LMcP -> 10.1749233106849","LMcT -> 1.","LPMn -> 0.5","LPT -> 1.","thetaMcMc -> 10.092255999434956","thetaMcP -> 1.5","thetaMnMc -> 9.108669476219145","thetaPMn -> 3.3095238095238093","thetaPT -> 1.75","UMcP -> 12.62288696983277","UMcT -> 4.","UPMn -> 2.","UPT -> 2."
"LMcP -> 1.1967188440698375","LMcT -> 0.5","LPMn -> 0.5","LPT -> 0.78125","thetaMcMc -> 1.0573310062483119","thetaMcP -> 1.5","thetaMnMc -> 0.9381095725466586","thetaPMn -> 0.6351817042606517","thetaPT -> 1.75","UMcP -> 1.6316942670870433","UMcT -> 1.","UPMn -> 2.","UPT -> 1."
"LMcP -> 4.599366417247212","LMcT -> 1.","LPMn -> 0.5","LPT -> 0.5","thetaMcMc -> 4.7822018152085874","thetaMcP -> 1.5","thetaMnMc -> 4.3043347381095725","thetaPMn -> 1.4786967418546366","thetaPT -> 1.75","UMcP -> 6.047330076395082","UMcT -> 4.","UPMn -> 2.","UPT -> 1."
"LMcP -> 3.0737507525587","LMcT -> 1.","LPMn -> 0.5","LPT -> 0.78125","thetaMcMc -> 2.709782984892997","thetaMcP -> 1.5","thetaMnMc -> 2.4399382901866344","thetaPMn -> 1.2703634085213034","thetaPT -> 1.75","UMcP -> 3.8589316736113313","UMcT -> 2.","UPMn -> 2.","UPT -> 1."
"LMcP -> 1.2528126881396748","LMcT -> 0.21875","LPMn -> 0.5","LPT -> 0.5","thetaMcMc -> 1.3533325741437712","thetaMcP -> 1.5","thetaMnMc -> 1.218492483819988","thetaPMn -> 0.3532268170426065","thetaPT -> 1.75","UMcP -> 1.646655812637144","UMcT -> 1.","UPMn -> 2.","UPT -> 1."
"LMcP -> 3.734723058398555","LMcT -> 1.","LPMn -> 0.5","LPT -> 1.","thetaMcMc -> 3.041661371407145","thetaMcP -> 1.5","thetaMnMc -> 2.740209211318483","thetaPMn -> 1.6760651629072683","thetaPT -> 1.75","UMcP -> 4.582403979451187","UMcT -> 2.","UPMn -> 2.","UPT -> 1.375"
