LMcMc,LMcP,LMcPT,LMnMc,LMnP,LPMn,thetaMcMc,thetaMcP,thetaMcPT,thetaPMn,UMcMc,UMcP,UMcPT,UMnMc,UMnP,UPMn,16,Node,ICs,Orbit
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 7/2,No,"[5.273863208820908, 0.8545625915935552, 4.611054628812621]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 7/2,No,"[4.533824164105825, 0.8451556920600148, 3.1472918757324084]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 7/2,No,"[3.909938178236782, 0.8882653552322766, 4.459496472586931]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 7/2,No,"[5.724338655586005, 0.9051631867026488, 3.958455098637578]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 7/2,No,"[5.267412612471672, 0.9735500995625042, 3.2045946109992594]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 7/2,No,"[5.72923876790472, 1.1927693879289007, 3.1262658534061014]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 7/2,No,"[5.706497851318748, 0.788135647168661, 4.525543089991474]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 7/2,No,"[5.69651486390398, 1.0130215840428827, 4.324579370650321]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 7/2,No,"[3.302103624205097, 0.8627439947651667, 3.6803567886317836]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 7/2,No,"[5.739033159713695, 1.183036643112097, 4.027217433609504]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc ->  3,thetaPMn -> 217/256,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 1,UMnP -> 15/16,UPMn -> 2,No,"[5.273863208820908, 0.8545625915935552, 4.611054628812621]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc ->  3,thetaPMn -> 217/256,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 1,UMnP -> 15/16,UPMn -> 2,No,"[4.533824164105825, 0.8451556920600148, 3.1472918757324084]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc ->  3,thetaPMn -> 217/256,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 1,UMnP -> 15/16,UPMn -> 2,No,"[3.909938178236782, 0.8882653552322766, 4.459496472586931]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc ->  3,thetaPMn -> 217/256,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 1,UMnP -> 15/16,UPMn -> 2,No,"[5.724338655586005, 0.9051631867026488, 3.958455098637578]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc ->  3,thetaPMn -> 217/256,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 1,UMnP -> 15/16,UPMn -> 2,No,"[5.267412612471672, 0.9735500995625042, 3.2045946109992594]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc ->  3,thetaPMn -> 217/256,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 1,UMnP -> 15/16,UPMn -> 2,No,"[5.72923876790472, 1.1927693879289007, 3.1262658534061014]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc ->  3,thetaPMn -> 217/256,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 1,UMnP -> 15/16,UPMn -> 2,No,"[5.706497851318748, 0.788135647168661, 4.525543089991474]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc ->  3,thetaPMn -> 217/256,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 1,UMnP -> 15/16,UPMn -> 2,No,"[5.69651486390398, 1.0130215840428827, 4.324579370650321]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc ->  3,thetaPMn -> 217/256,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 1,UMnP -> 15/16,UPMn -> 2,No,"[3.302103624205097, 0.8627439947651667, 3.6803567886317836]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc ->  3,thetaPMn -> 217/256,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 1,UMnP -> 15/16,UPMn -> 2,No,"[5.739033159713695, 1.183036643112097, 4.027217433609504]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 7/4,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2,No,"[5.273863208820908, 0.8545625915935552, 4.611054628812621]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 7/4,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2,No,"[4.533824164105825, 0.8451556920600148, 3.1472918757324084]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 7/4,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2,No,"[3.909938178236782, 0.8882653552322766, 4.459496472586931]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 7/4,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2,No,"[5.724338655586005, 0.9051631867026488, 3.958455098637578]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 7/4,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2,No,"[5.267412612471672, 0.9735500995625042, 3.2045946109992594]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 7/4,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2,No,"[5.72923876790472, 1.1927693879289007, 3.1262658534061014]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 7/4,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2,No,"[5.706497851318748, 0.788135647168661, 4.525543089991474]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 7/4,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2,No,"[5.69651486390398, 1.0130215840428827, 4.324579370650321]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 7/4,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2,No,"[3.302103624205097, 0.8627439947651667, 3.6803567886317836]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 7/4,thetaMnMc ->  3,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2,No,"[5.739033159713695, 1.183036643112097, 4.027217433609504]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 21/16,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 2,UMnP -> 1,UPMn -> 7/2,No,"[5.273863208820908, 0.8545625915935552, 4.611054628812621]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 21/16,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 2,UMnP -> 1,UPMn -> 7/2,No,"[4.533824164105825, 0.8451556920600148, 3.1472918757324084]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 21/16,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 2,UMnP -> 1,UPMn -> 7/2,No,"[3.909938178236782, 0.8882653552322766, 4.459496472586931]",Large
LMcMc -> 1,LMcP -> 3,LMcPT -> 1/2,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc ->  3,thetaPMn -> 21/16,UMcMc -> 2,UMcP -> 6,UMcPT -> 1,UMnMc -> 2,UMnP -> 1,UPMn -> 7/2,No,"[5.724338655586005, 0.9051631867026488, 3.958455098637578]",Large
